"Setup Grp. From","Plant","Plant Name","Setup Grp. To","Duration","SKU_from","SKU_to","volume_SKU_to","volume_SKU_from","weighted_mean","weighted_dev","Syrup #Components","SetupMin","SetupMax"
"200008","0281","Köln","201032",180,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 Lift Apl POM",2928,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","200019",30,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 Sprite POM",3791,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","201056",180,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 MM Frt Pnch (Nec) POM",602,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","201055",180,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 MM Apl Jc 100 POM",1899,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","200061",30,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 Coke lt POM",1283,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","200027",30,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 Coke Zero POM",1037,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","200026",30,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 Mezzo Speciality Mix POM",1031,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","202992",30,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 FANTA SPLSH ORG POM",3227,1442,7.09627879503839,7.39491862628467,3,15,30
"200008","0281","Köln","200008",0,"9LSSTKR1X1 Coke POM","9LSSTKR1X1 Coke POM",1442,1442,7.09627879503839,7.39491862628467,3,15,30
"200010","0281","Köln","200027",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 Coke Zero POM",1037,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","201054",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 MM ORG 30 (NEC) POM",2589,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","201056",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 MM Frt Pnch (Nec) POM",602,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","200007",30,"18LSSTKR1X1 Kinley Club Soda POM","18LSSTKR1X1 Coke POM",3598,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","200008",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 Coke POM",1442,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","200019",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 Sprite POM",3791,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","200061",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 Coke lt POM",1283,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","201032",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 Lift Apl POM",2928,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","202992",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 FANTA SPLSH ORG POM",3227,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","200010",0,"18LSSTKR1X1 Kinley Club Soda POM","18LSSTKR1X1 Kinley Club Soda POM",1968,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","201055",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 MM Apl Jc 100 POM",1899,1968,2.30626107501477,1.47307499145251,1,180,180
"200010","0281","Köln","200026",30,"18LSSTKR1X1 Kinley Club Soda POM","9LSSTKR1X1 Mezzo Speciality Mix POM",1031,1968,2.30626107501477,1.47307499145251,1,180,180
"200013","0346","Bad Neuenahr-Ahrweiler","200013",0,"330MLGLBTR1X24 Sprite","330MLGLBTR1X24 Sprite",130148.999,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200013","0346","Bad Neuenahr-Ahrweiler","200125",300,"330MLGLBTR1X24 Sprite","250MLGLBTR1X24 Apollinaris Selection-KO",240480,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200013","0346","Bad Neuenahr-Ahrweiler","200215",300,"330MLGLBTR1X24 Sprite","500MLGLBTR1X20 Apollinaris Selection-KO",39592,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200013","0346","Bad Neuenahr-Ahrweiler","200113",90,"330MLGLBTR1X24 Sprite","330MLGLBTR1X24 FANTA ORG",267207.998,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200013","0346","Bad Neuenahr-Ahrweiler","200051",150,"330MLGLBTR1X24 Sprite","330MLGLBTR1X24 Coke lt",149959,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200013","0346","Bad Neuenahr-Ahrweiler","200002",150,"330MLGLBTR1X24 Sprite","330MLGLBTR1X24 Coke",734436.998,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200013","0346","Bad Neuenahr-Ahrweiler","200001",150,"330MLGLBTR1X24 Sprite","200MLGLBTR1X24 Coke",459526.002,130148.999,21.8848412543027,19.8087696251083,4,90,300
"200019","0281","Köln","200007",30,"9LSSTKR1X1 Sprite POM","18LSSTKR1X1 Coke POM",3598,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","201055",180,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 MM Apl Jc 100 POM",1899,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","201054",180,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 MM ORG 30 (NEC) POM",2589,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","201056",180,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 MM Frt Pnch (Nec) POM",602,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","200061",30,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 Coke lt POM",1283,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","200008",30,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 Coke POM",1442,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","202992",30,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 FANTA SPLSH ORG POM",3227,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","201032",180,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 Lift Apl POM",2928,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","200019",0,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 Sprite POM",3791,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","200026",30,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 Mezzo Speciality Mix POM",1031,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","200010",180,"9LSSTKR1X1 Sprite POM","18LSSTKR1X1 Kinley Club Soda POM",1968,3791,7.04213427840126,7.42914638769683,4,30,30
"200019","0281","Köln","200027",30,"9LSSTKR1X1 Sprite POM","9LSSTKR1X1 Coke Zero POM",1037,3791,7.04213427840126,7.42914638769683,4,30,30
"200026","0281","Köln","200008",30,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 Coke POM",1442,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","201055",180,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 MM Apl Jc 100 POM",1899,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","201056",180,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 MM Frt Pnch (Nec) POM",602,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","200027",30,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 Coke Zero POM",1037,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","200007",30,"9LSSTKR1X1 Mezzo Speciality Mix POM","18LSSTKR1X1 Coke POM",3598,1031,7.31384130734397,7.25434011711074,4,30,30
